# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1985537789
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=startle_null_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,aux_unscaled.1,p_gamma.1,p_aux_unscaled.1,g_gamma.1,g_aux_unscaled.1
-87.6827,0.967758,0.409774,3,7,0,90.4098,0.673248,-0.972917,2.68138,-6.29365,5.25914,0.103484
-86.7355,0.997007,0.409774,2,7,0,88.0345,0.393497,-0.943707,6.32982,-0.405224,1.31834,-0.379688
-86.6842,0.988906,0.409774,2,7,0,87.2421,0.281602,-0.929848,-4.13947,0.327166,-0.513976,-0.286946
-86.8742,0.988104,0.409774,2,7,0,87.1224,0.423124,-0.756328,-2.10247,-1.29711,2.05309,1.32592
-86.7958,0.999627,0.409774,3,7,0,87.0169,0.376557,-1.0404,1.49417,1.53895,0.975831,-1.27021
-86.9051,0.996096,0.409774,3,7,0,87.0215,0.357039,-0.677068,-1.90058,0.061562,0.88883,1.94159
-86.7316,0.999522,0.409774,3,7,0,87.0189,0.229484,-0.914411,0.232621,-2.12896,-1.42999,-0.108059
-86.7115,0.999661,0.409774,2,3,0,86.7496,0.250072,-0.938374,-1.08737,-0.0273379,-1.04772,-0.343708
-87.0052,0.993403,0.409774,3,7,0,87.0276,0.361518,-0.632156,-0.833472,0.0261019,1.0082,2.32669
-86.7219,0.998022,0.409774,3,7,0,87.1774,0.3679,-0.971996,-1.86312,-2.33616,0.891812,-0.65621
-86.8804,0.959728,0.409774,3,7,0,88.3306,0.198978,-0.759372,2.42896,4.47253,-2.21678,1.31177
-86.8703,0.999807,0.409774,3,7,0,87.0579,0.353044,-1.10033,2.34793,0.404324,0.599026,-1.82932
-86.8447,0.917607,0.409774,2,7,0,89.9621,0.373253,-0.720945,-0.526594,-7.02371,1.17148,1.57543
-86.8958,0.98138,0.409774,2,7,0,87.6592,0.161495,-0.989339,-3.31974,-2.54736,-2.50625,-0.682924
-87.8402,0.903341,0.409774,1,3,0,89.4616,-0.0378079,-0.846089,-6.16966,2.51016,-6.78878,1.28741
-87.2585,1,0.409774,3,7,0,88.0757,0.546256,-1.11066,-4.69951,-1.30169,3.17013,-1.62906
-88.5722,0.96512,0.409774,3,7,0,88.908,0.706988,-0.613444,2.21132,-1.68302,7.59572,3.62852
-88.1904,0.999793,0.409774,3,7,0,89.6338,-0.0523849,-0.718039,-3.07579,-4.2517,-7.73336,2.52728
-87.0867,0.997278,0.409774,3,7,0,88.7151,0.426753,-0.643743,-6.47484,2.10768,2.3004,2.30526
-87.1094,0.997322,0.409774,3,7,0,87.5207,0.544459,-0.943972,-0.850918,-2.48122,3.60056,-0.0898664
-86.7131,0.993221,0.409774,3,7,0,87.5047,0.349727,-0.816577,4.8782,0.644652,0.675599,0.723288
-87.229,0.983871,0.409774,2,7,0,87.3905,0.232129,-1.23475,1.08004,1.4028,-1.06689,-3.02557
-87.3019,0.982672,0.409774,3,7,0,88.2717,0.57464,-0.814692,1.65143,-3.74147,4.4674,1.1888
-88.8627,0.980213,0.409774,3,7,0,89.1719,0.0214808,-0.389527,2.28659,1.49628,-7.50252,4.95573
-87.4797,1,0.409774,3,7,0,89.5396,0.217915,-1.30501,-5.51054,4.14614,-1.19186,-3.65307
-87.9121,0.991487,0.409774,3,7,0,88.526,-0.049584,-0.853324,0.00106873,3.12137,-7.00023,1.27655
-89.7951,0.961177,0.409774,3,7,0,90.4811,0.875692,-0.679356,-3.97246,1.68273,9.83948,4.18479
-89.8448,0.992435,0.409774,3,7,0,91.9117,0.69268,-1.64807,5.35956,4.25902,3.09173,-6.22976
-89.2216,1,0.409774,2,3,0,90.0435,0.736316,-1.50784,0.650803,-3.58154,3.83356,-4.79346
-90.8627,0.994283,0.409774,3,7,0,91.3473,1.09294,-1.44956,-1.00939,-2.67775,6.52606,-2.54448
-88.8929,0.959311,0.409774,2,7,0,93.9279,0.804459,-1.34634,11.9678,-2.60654,4.99918,-2.96683
-87.764,0.999187,0.409774,3,7,0,89.1883,0.682611,-0.905391,-5.18311,2.98167,5.68579,0.787732
-87.5442,1,0.409774,3,7,0,88.1207,0.578627,-1.2007,-3.98413,-1.02287,3.31438,-2.38333
-88.0197,0.99078,0.409774,2,3,0,88.04,0.669714,-1.25497,-0.0927138,-0.564533,4.11819,-2.61098
-88.7083,0.967273,0.409774,3,7,0,89.569,0.739946,-0.647059,-3.66603,2.60767,7.94883,3.52255
-88.3668,0.99951,0.409774,3,15,0,89.1695,-0.0239738,-1.36235,4.31958,-1.79291,-4.42518,-3.63648
-91.0253,0.936673,0.409774,3,15,0,91.5344,0.531084,0.0390636,-3.96086,0.267048,6.85449,7.66393
-88.0915,1,0.409774,2,3,0,91.2068,0.279064,-0.324715,-4.58151,-6.22299,-0.880693,4.78058
-86.9767,0.953201,0.409774,2,7,0,90.6534,0.198748,-1.11322,0.833801,7.61535,-1.69236,-1.87631
-87.042,0.988627,0.409774,3,7,0,87.5591,0.125509,-0.803223,-0.0747211,2.86411,-3.59864,1.07927
-86.9762,0.999899,0.409774,3,7,0,87.3084,0.232475,-1.13686,-3.09607,0.614865,-1.15225,-2.13135
-86.7463,0.994325,0.409774,2,7,0,87.2662,0.283426,-1.02041,-2.02444,-2.48147,-0.446984,-1.1054
-86.9407,0.994461,0.409774,2,7,0,87.0729,0.475802,-0.812812,-1.20489,-1.16454,2.86419,0.924382
-88.4723,0.947343,0.409774,3,15,0,89.6207,0.791185,-1.18784,-3.81572,3.2853,5.60575,-1.45187
-87.1169,0.992416,0.409774,2,7,0,88.7709,0.51221,-1.08489,-6.79892,1.629,2.79713,-1.47263
-86.7931,0.980591,0.409774,3,7,0,88.241,0.298605,-0.73276,-6.41249,-1.41024,-0.270033,1.45079
-86.737,0.993591,0.409774,3,7,0,87.1142,0.249176,-0.816797,-1.54204,2.18451,-1.16918,0.742799
-86.8121,0.98639,0.409774,3,7,0,87.2815,0.248838,-1.05345,3.81911,-0.0622779,-0.974174,-1.385
-87.2247,0.972952,0.409774,3,7,0,88.002,0.351262,-0.546746,-3.36771,2.55846,0.845385,3.03282
-87.1365,0.995549,0.409774,3,7,0,87.6297,0.458077,-1.16316,-2.17655,-2.32553,1.95067,-2.29726
-87.3668,0.997484,0.409774,3,7,0,87.5797,0.607934,-0.970325,-0.510971,1.80126,4.4038,-0.12978
-86.9801,0.992355,0.409774,2,7,0,88.0054,0.140542,-0.813384,5.55187,-0.73291,-3.27338,0.951263
-87.2264,0.989317,0.409774,3,7,0,87.7971,0.306184,-0.541005,-3.6051,-1.55639,-0.147667,3.07044
-88.905,0.93106,0.409774,2,3,0,89.1398,0.590592,-0.34944,0.163725,-1.92672,6.68794,5.23036
-87.4037,0.997948,0.409774,3,7,0,89.4476,0.0926437,-0.671,5.4445,4.15984,-4.67615,2.33908
-91.8083,0.868452,0.409774,3,7,0,92.7716,0.197251,0.207341,5.28757,1.00816,-4.10185,8.27415
-94.5618,0.874225,0.409774,3,7,0,96.2298,0.242685,-2.22883,6.47404,-2.25313,-0.363649,-11.4393
-88.56,1,0.409774,4,15,0,95.3331,-0.145664,-0.942014,0.31498,10.3652,-8.51449,0.954069
-88.514,1,0.409774,3,15,0,88.5623,0.805979,-0.947881,-1.01164,0.494299,7.04955,1.02569
-87.3909,0.994197,0.409774,3,7,0,89.783,0.416058,-1.27638,8.38728,-1.43259,1.28885,-3.3891
-86.782,0.99704,0.409774,2,7,0,87.6266,0.358857,-0.754619,1.44463,-3.51262,0.876062,1.27224
-87.0823,0.992115,0.409774,2,7,0,87.113,0.345463,-0.595505,-0.581919,0.561486,0.696067,2.62554
-90.5808,0.895344,0.409774,2,7,0,91.2889,0.483178,0.0186485,0.873601,3.29353,5.30479,7.36306
-86.7813,0.988417,0.409774,3,7,0,91.3511,0.423727,-0.939911,4.92539,7.75498,1.79736,-0.309568
-87.0766,0.994431,0.409774,3,7,0,87.091,0.535341,-0.925698,0.652366,-0.104891,3.51921,0.0521309
-87.3139,0.967394,0.409774,3,15,0,88.8878,0.217067,-0.545866,-5.87449,2.71321,-2.16237,3.10364
-87.4878,0.983401,0.409774,3,7,0,88.4479,0.111468,-1.24409,-0.591799,3.8805,-2.77632,-2.92331
-86.8307,0.993325,0.409774,3,7,0,88.0502,0.1833,-0.965737,-3.98936,-3.35091,-2.16952,-0.507371
-86.7287,0.999618,0.409774,3,7,0,86.8924,0.281637,-1.0024,-2.04885,-0.674598,-0.482764,-0.941574
